case_id,address,category,stratum,selected,bundle_sha256,n_legs,n_history,n_decoded,anchor_fallback,pair_E1,pair_E2,pair_E3,clean_E1,clean_E2,clean_E3,inverted,pair_agree,n_pairs,adjudicator,unanimous,overridden
case_014,7zEvrNE9CwY4duBu8v7KzwAvuS27qfaBaXA1kJ6LaCFD,standard,control_fail_both,False,a4edcfff45a85ca329642b781c1d842b30bcf41b3e89f5c76b7f828da41bcf7a,36,120,12,False,no,no,no,0,8,0,0,2,3,no,True,False
case_015,4UK5Nki9MDgWn5q5aHLsV36kxyipT9mBzwTF1MwvvMoa,standard,selected,True,8a4b500cf838a5c191e3198ecdffa3849f584cfe73d2170f0092777db37a3e17,87,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_016,2mRYZQP4FvB3BWEBfoDB2g5eUPbPco3Tjs6i4N4cHhog,standard,control_fail_SC,False,12ec26e2b7d6978d8d218d9988d201a45226ac9d37821696584c2a82fdcfd239,96,120,12,False,yes,yes,yes,3,3,3,7,3,3,yes,True,False
case_017,AYo5yYa5h2i2iCrsdLNFbtS8DAvwWtiAj3KPurx2DKch,standard,selected,True,c18ed93251d0207e0fbe9ac748804ec1087bb0c6959372ac63199139a92649f1,127,120,12,False,yes,yes,yes,7,7,7,2,3,3,yes,True,False
case_018,FiAPe3q5TFYfYu4fP2ySMLRE9qfkAEYLsk2JaPaavvuW,standard,selected,True,a12153c918a5ec5796852dac0c713e54e493857b09175a4e08c892a21e632555,104,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_019,GrehxZss67nnc7AzrFRLc5vsuRqNHKLjDuvzjeh52xVu,standard,selected,True,f693ddcd76923430e95f9f6a1d48064bf61561b2770652d3df059dd7f3b8d226,157,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_020,9Bzr6Thca5CkSLFXRuENMXBwxgee16JVsZda5aunUZNA,standard,control_fail_both,False,5864acfb0757e1b284fe0703010c764f343d683387e73065b2705a68e2006cd5,54,120,12,False,yes,yes,yes,4,4,4,5,3,3,yes,True,False
case_021,EShTSpYJjjUbqi2QL92R7GcHiqdvdPSkryDYNSaHue15,standard,control_fail_both,False,4b1477a60bdde1ced04d6ddf096845b00417179dac4a6d8d6628448478a0dda1,107,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_022,DULT2ijn8FaUagyqTCbuidDiADUxXK9aJV1Ghi6EfhE5,standard,selected,True,a243eee046329bcc0b13f0c18d074e1ae322aa26fcd5fa781748bc9340ca33ca,89,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_023,CX7HYiparsQFRaD1F3torvumBCoTYNA7jyPzn8PkHPuQ,standard,selected,True,3480cbc42bed2d4de88f427dd1cb0b5c60c15ff986a7dac50ed7d34ba930e1f4,134,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_024,DKvJD5BYRE1nNVULwst1T8hTvEgs8HP7TnGeM2G9dwqQ,standard,selected,True,60a90c0da369b637ef4389e51ade30ed7d965c8a6899c663cfe40054b9941d5a,170,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_025,4kPDHN5NPGPJn17Txk1K6HH2rhyqm1XKf18PFVXPbyf4,standard,selected,True,17d7575ffc4a77214a75ab3021ff48e8f6f076f71320f70886318405ddfd5b3b,92,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_026,8uLkRxSsNba1UocG6SicKHif7yuUXQWPFm1xCnFHGCKT,standard,control_fail_FG,False,71c0c9a09ac10a3c0d78f47f96cd7f3549cd723822bdddd45aa5c3f26db68a0e,78,120,12,False,yes,yes,yes,6,6,6,4,3,3,yes,True,False
case_027,FdHEV7sRsHJch6LmnEBtzLtU28zK3Dogb9tbhXLNyyGT,standard,selected,True,9cca8f55c8c36ebf61e807e234a0a821cfe16053ac5440133fc4972449e909c1,291,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_028,92MZw35nSRYbyVFZEu8XwB7U2Ta2mUxzN1FvDLYHEVmc,standard,selected,True,865f50565311a3518e2c4c9bbef4b52b7f763e7f0479575d1a3e32b11c71b22c,62,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_029,BbVXSVWEYcd6riP97fW5Dk4W6dfgMQjPvnVaDYqF81dj,standard,selected,True,bfd82abc3e58413870937ffaff5270597d97a65b8fb2e5e115bab09b5ca496a1,71,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_030,7NBMEiAMXTSwAapRaajXE6L7qGodGszjsKsGt4Ea7fzJ,standard,selected,True,c1cf86e896897837adc948974b86f935646823ed20a045f2dda19acf45faba38,73,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_031,DULTRZBKB4nmRbUxKRHuSXxsw4gQFzLGeCoRRCqxcnoL,standard,selected,True,001f217fc5cd034ab14e78fc26c59476b5cce43c36424950a0992d2b849319fa,191,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_032,DULTc1MzmAEN2o8p4kWhdZ3X3MjDvqb7Dxfmcn1ctpmM,standard,selected,True,338e714a7e5d8aa0252d52dbee8b44cdac09af26d1b3fed251743eeba11560da,95,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_033,7CtW3vMTyNm9u8ByWWoTjGg7XYZteUjYwjEevHypVHb4,standard,selected,True,3ff5f88f321a55414a2034ae61ff1337960b75d37db148b64c0230b08573c955,34,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_034,DULTfcZFLLnBsaUP5k3jC1YMqQZhu762DjKtVaHf2cNV,standard,selected,True,8b6154f0cbf84f9474b244f1eedee3382195a36b4e96551d6989e2d2d7ff39cd,132,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_035,v1ccXozGDbLno45b8varH1ih6xRrDWEqF1hdFfwnDcc,standard,selected,True,371f0c5e95ff0d03ac4d5106a55e1ca1cc3c48dbeee06649bb50b5d9534a0617,149,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_036,8Fz9Y1ma3dSUKbpEtUkn5Abmd52HAPM5X3XYun1L7S6S,standard,selected,True,1ed74e64149f9f7a1fd53b322ffc34da253402694f5d96283555f55127e90675,90,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_037,GQZg8WfTKcn1Axgc9mk1ihLhaSX9Mgb6A94UL2VkQ7sY,standard,control_fail_SC,False,908ea5d41b78fe6c4d730a0abb4bbb748c6025a782f17c40331447d00947f07c,46,120,12,False,yes,no,yes,10,0,10,0,3,3,yes,False,False
case_038,8dXb8GDfpyusig3NyshPLebfRCnQ3MaVodzeYZBjgatC,standard,selected,True,7ed6cc09aa9a053050d58daabe5934435f2869fda5cedb4f8c1d77e51bcf8999,140,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_039,ron7XERDF3HNTxsPtoPiXEZ8psVaqSkAs3Twj1yxV5x,standard,selected,True,25befe40130248f2d513427edd304293882c933412e78f15c6f68d78f63f1651,190,120,12,False,yes,yes,yes,7,7,7,3,3,3,yes,True,False
case_040,3vNb7Lo9Xc8DBKhBfvzq8q1zUUca42BTDATRJmYrwrJK,standard,control_fail_FG,False,1e3cb7e92d9c0229a1f53f38ead5832b1b4e46fe1fd64980242116861edd8559,78,120,12,False,yes,yes,yes,4,4,4,4,3,3,yes,True,False
case_041,2cvcbA8KUFwtZ5KpwQoYr6TUMYfaVAv8zEkQxHSVraiY,standard,control_fail_both,False,8e555569f276139ee5103d3d2d11815eaf5b5776cfb22804dc8a87bf93bd8446,34,120,12,False,no,no,yes,0,0,10,0,2,3,no,False,False
case_042,9ovvtwEMhojiW4QsaqzAZDYGKB78SBiq7hwfkMbbcGpS,standard,selected,True,bd316305539c1a49e4ca80bd25d21a3c6cf404015bba1b36a402d1f4f3216764,35,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_043,2heabgWobxiYtvvg7WkSSMvwLjpBixxXvspQyXfCmKkc,standard,selected,True,05f61bbb9deeee43c6febe84f94bfc8e4ed2dfabce67562e4292ed9387acf9d6,145,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_044,DULTBS7c4FiFvSi1UsdjPLWUqoiyF7eiJZKJFGHvVtAK,standard,selected,True,a79bc6a1811efd775d674e177e0c520e578da4cde3b0b79416fa9b2005a06df3,109,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_045,JBh4bokJ1XJ4vBX8qz3ZLKy9pseRFdr2feUi39gKh6dQ,standard,control_fail_both,False,f1de54284e3d556409c86c48aa4a99249dff6a1fc91b55c0e135d8af1f3a12f7,145,120,12,False,ambiguous,yes,yes,0,6,6,4,3,3,yes,False,False
case_046,Magic1wMPxMJbUNH9s6LWmyfBWpLufrMGDiqozyCPLH,standard,selected,True,54ef8f0b242ea5536dfa18062bfa841a85b6b04e25de2ce6b1af21ce41bdc1a6,148,120,12,False,yes,yes,yes,5,5,5,4,3,3,yes,True,False
case_047,torgrQE5v8CCwSCqwdeifKNBL3t7TqPcXwuW6vCiJ4B,standard,selected,True,01b64c672316d0ed994bbc1f2382e28f6765301eac8a3749d2a7dcc4c29dfa8e,136,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_048,59HaiZPiSeeLX57JrnV5rmMaARuF6wkJKyerryEin34m,standard,control_fail_both,False,a401a568c19895c5e964eddc8e22d72e76c640e4a2e52f6f696784085910ff58,60,120,12,False,no,no,ambiguous,0,0,6,4,2,3,no,False,False
case_049,AkEqXWhYnnDGc4txbd3Y1CjAH6bVGoEhvgEV7N9f6fpS,standard,selected,True,cf1821bf8a2dd0b7d3a833b6ac79dfb1d1dfdb63f0a532b80aae1e88f1b4674c,153,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_050,CfJ1fjJCRNDNEzgawEwB4e4D1QnnSn7SAz8Dq9BhgCtH,standard,control_fail_FG,False,2dc737428c9418f0a547e1f4fea4da7bb825945f1bc2d209aeab5c3ab2644e90,216,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_051,94iQuYjVgTwGXxtM7ywfpzfLvx3gN4oQRuc9osRE2pEm,standard,control_fail_FG,False,667fed528b2eb98d6918f93553a47fe5fd3a78d3e879f28d1f95ac419622655e,90,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_052,CvRw2LQ8cJasvtKGXhhjCWAu1r2U5jpTjm2DuBVFrEjf,standard,control_fail_FG,False,a1c2d589eb00fe7839f16b4384c910357d82a5e157680eeca04e26920239fd07,106,120,12,False,yes,yes,yes,8,8,8,0,3,3,yes,True,False
case_053,4hASKAobJourFvMS5SktVhB8B4mnPXUzekdS3ihm1VGg,standard,selected,True,e9ab0ea4336ada1242f88b49739e44cb137197bbe1b47519db1addcb9a2cc11d,34,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_054,9asBCQqp2o5BicHWPJZJ1RBh8hKQR76rejKgkQkzNwPy,standard,control_fail_FG,False,bb3123fc2ff218873c12b9b8a25c7b3c8c271e4e97fcc91915646242d07bd315,122,120,12,False,yes,yes,yes,8,8,8,1,3,3,yes,True,False
case_055,GAAcxw3qcRmQTzm34UGQLz6q5V33Wk7vyugMPWXZKAbn,standard,selected,True,bcf5ddcad6901d2c1aaaf1241e58107c12779ecf4af7d8a92cb4e2de3e2ab975,143,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_056,ApJbDkiG7i1fh5yE8hEHyKJ1LLWQR5k9aoSEfDtwCQf6,standard,control_fail_FG,False,320490fc39a81474aad64baa7ca33869d90a5693c89744b147f8fc93e546576e,85,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_057,5ZZd8c2xK7dtpZQ9KmXWVtiBDy2QzpJHpGNicnnwjvDu,standard,control_fail_FG,False,be93c8abea1439ff2f2e03ca2f98930793db7ff58e4182d3d18d5ec53da00733,102,120,12,False,yes,yes,yes,9,9,7,1,3,3,yes,True,False
case_058,DULT92uQ2twmM82FmREXBTs5aQ9ynTJGLz5VSD6RUhXp,standard,control_fail_FG,False,c537672c89c92c30681db761604abd76b7db95d65d9a557485f90428f66c67c7,115,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_059,9ypemT1oNeUsoT5ozTGh498DPx8yCgbbFVqRw5y2KAVt,standard,selected,True,195ecda9ea5dc47ffe0eda5229ec6e31ead6f0cb98ee0458a3f087c2168c341c,330,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_060,AgmsCWvjsATzyDkhqdDQnJENVhDExQRSBr9akNMcvVoj,standard,control_fail_SC,False,526f9057839b04bc9aeaed150eb7c848842f737e333fb1d62693aad54d2a5c22,86,120,12,False,no,no,no,0,0,0,0,3,3,no,True,False
case_061,63ZUWQWAcN85oEkyRTC4TFKkNTqzC6gS5MUtp5338i6a,standard,selected,True,1472d5bb9d4f83809b524fbd6089970b7b2294fbe12f89adbe2b6ce26c99b335,128,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_062,vmSb6tmwhii1fwEYzKNUHwekPj7owPN6ae4mh95VewX,standard,control_fail_FG,False,cb9ecdec35be698c0e0b04a0a1896bef3e428016f9405137bfb1836f1ec188a6,69,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_063,13v3goA7JJpd3iZ12zEtELfQkcSKwGDF7grkbaaxNiWj,standard,control_fail_SC,False,53c687ba44e7d4c798ce1365b9b150818efec34022566649ffff490303ae9bfb,75,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_064,BRDG6WL3UzDGKgaz6jxrvsrSXDsqhKNFy9bfHparH435,standard,selected,True,de241f595ef949a77634f40e906d22a8d526421b35acd645787f49ecb052f9b0,189,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_065,EHCRWxmvP6ZQkHmHbSpC9AJRi4XukoTiSNSx8yBkXKFA,standard,selected,True,fa000d5b6f94604e71aa085f0fb6be7cba4efe1139499a5e37b3aa7b7059ca51,206,120,12,False,yes,yes,yes,5,5,5,3,3,3,yes,True,False
case_066,2EVdBxRxmAdaLGfzqFaq1KG4877NF5KKUMxEnWzaHAUj,standard,selected,True,9b52a42a683f4417aef3dde44817aebfbaa9bd0ebff58cecdf3f15fd86270d24,80,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_067,F8LoqWUjjbD3xqHfrYAffPZMCoNjwbB1jQC3k6MWgfbs,standard,selected,True,1e4772b39f6c4ef57023174539e3818a5f7e80453ea20866561a8c8f03d5fda5,34,120,12,False,yes,yes,yes,7,7,7,0,3,3,yes,True,False
case_068,6XzmFvaNivoYZATpfjLmU9yWFU8p1XTiDnjFJQ4JHFGd,standard,selected,True,358f3512269e0fb5f616b453c5909adcf95d3d5ddb9c8dd672fcad1c776c1b12,209,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_069,2JoSEX57i5NjXY5y9PhtVh4WtNmQdQEEhWX4B2s81r8L,standard,selected,True,8be9810bc03a08089c53c9155397135c36d858db4492a4676a5b52cc37969d7a,115,120,12,False,yes,yes,yes,5,5,5,4,3,3,yes,True,False
case_070,BfuLYm4MLM34qskDStNTwB2ZM2JkNR3gWZpsohHDbArk,standard,selected,True,14b0537c72d32579b1adf04d38d1c6a034184afc8459bb553c870bb4ca1fcae3,80,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_071,Bm3k3LRDAYSH9PdjsMHoP58VPZJ7NzTTi6wBGfXBxya2,diff_signer_owner,selected,True,723f4086e06ba2a69098101b182ed019268e341b2a25dca428fcd7ebc79b70ec,87,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_072,BaXmvX3bFZNmJpSxvCDqL4gTskXXN2te3Zo8edMudmri,standard,control_fail_FG,False,c88b833b9a3449304908ac7ad91dde6cc16ecf9a33f37d4fcc0d626ee658db54,81,120,12,False,yes,yes,yes,6,6,6,4,3,3,yes,True,False
case_073,A25FNSdyFHpeuFVFyrkjCVJf162NxBXdY5AgtnCArQTZ,standard,selected,True,9282210dc4e044c94fbea5c765ae32110c6dc32bf4816eee069f619e28f80413,168,120,12,False,yes,yes,yes,8,8,8,1,3,3,yes,True,False
case_074,3y7kAE4xcmfoPoPWGqNQnyVcBqkuZLndCGEBcN6K8bw8,standard,selected,True,09a83c83d9ff7674548c777cfac496bebe9f66d6489eb0cead83bf33d838f1a8,136,120,12,False,yes,yes,yes,8,8,8,1,3,3,yes,True,False
case_075,HpBQZoprdtWC9MFZoLEKSi1PvSFhGFYDJt9ryxooUHCT,standard,control_fail_both,False,a693466457005b1c1e323c2fb3ca404ce409fb8067a27dba6fe59e7b6d83011f,119,120,12,False,yes,yes,yes,3,3,3,7,3,3,yes,True,False
case_076,8fStGV461vNqwhmQkvYvTFEYkxT4dKqNsyepgtFFDcud,standard,control_fail_FG,False,165632da491794394a9dbe81958b88092fc7a2be70c32d8ad0a782b52999a0ac,110,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_077,BEhGcKjxYvcZDcy3wU2rHWsvtvJmktPofBZTbbHyh1to,standard,control_fail_both,False,f7f5070e52b2551c9e9d471193c1db40b1c02240800d9d80556e5cd321b680f7,128,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_078,555CVoLLYrmo6KREkqrtpCeBBk2WjmYpYMjbQWvygCqF,standard,selected,True,36d72f008d5e26545b243fddd36e6dc1e13822521f2ceb214d77c4dd9a1e9cf1,157,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_079,AxGtXrvFw8WBE9pWrEkjHq4Jt61fE3Jj11by9AoFAdGv,standard,control_fail_FG,False,d599a808bfa397a97aff26dc6b4ef6122d141adfec2d588dde47095e7df7ff70,106,120,12,False,yes,yes,yes,7,7,7,3,3,3,yes,True,False
case_080,AEzdkzAomkFUXX4hAKFXT3u1YQ1Y4wdTHPSPYgjgiBJP,standard,control_fail_FG,False,5c4c646e7243833b789d76058077c7f5ccab6c9038656de4a2ecc1a0719ef420,88,120,12,False,yes,yes,yes,7,7,7,3,3,3,yes,True,False
case_081,AUNf4FpySbLBzGxK89KYRrY52FD1mw5mHvxyoc67xrZD,standard,control_fail_both,False,dde4f98a3bf9f7158eaa81b941876b290d6e2f5fc5553a2579948f53aafc184e,61,120,12,False,yes,yes,yes,7,7,7,3,3,3,yes,True,False
case_082,NEgLdW6kFfGqF9Jf31YhYc88UMruYy5htN6t894hP6s,standard,selected,True,c24b0ad1d679f9a27308bdbabaa65868e124791037409e653b10403be584b5cd,93,120,12,False,yes,yes,yes,8,8,8,0,3,3,yes,True,False
case_083,EgJ8bUTtE9MJCtfXH3qdNe1w1cQ1NYfWhESNgZKYFDad,standard,selected,True,2f862644d4c39cef7f5e0d77268590d2d17b26ec0e818f43ab2f172a893b9034,64,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_084,BALDEraP3A73eyUjMTgD3wkyhAuoE47WkdU9mQpDXTCK,standard,selected,True,fe072a2a4b711ff0c919a104e4132cefd7182f36567a157397ff482449aff1fa,185,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_085,7jkK6JjZXjTjeiDZ9NjdYNvScBEjZkPjV6Kwvr7GxscN,standard,selected,True,c7cb7ec625c7ce80fa1b8a354aaa2507094d10c52a202004ff19bc840372e133,133,120,12,False,yes,yes,yes,8,8,8,2,3,3,yes,True,False
case_086,3ixtZXbbJjNEq89GbeFu8vJMGDMNSePofNEf5kecVhsA,standard,selected,True,db86c5f4f1ffe28b9a9549736e97e0d4c53efa13c7674b0fc6c0473f015eb38e,80,120,12,False,yes,no,ambiguous,8,8,8,0,1,3,no,False,True
case_087,6DcDqEPCeYzsR19S3yzZhRyFoFTW9cSB4FbSwgUC2tP6,standard,selected,True,22b2229e925cd87a44a11ce47ae40c78495b53b9df04e2d5ff8d4c70554637fd,109,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_088,g5HcBNwSo2GyeKwdsgLzCrmqeB3KeihLd87nS79kDaG,standard,control_fail_FG,False,d35003c0ea2549548daa7779752a7d3790719c462b20ca57b139e5b2fe093dba,145,120,12,False,yes,yes,yes,4,4,4,6,3,3,yes,True,False
case_089,8PTVGpr19vErWEAHY1ANH2nyW5tFkdvAzi9rh6uxYfED,standard,control_fail_both,False,d6241d7799bb44168f41174e32fff4cda49a6f36896cd2193b8a057711b7fe4c,73,120,12,False,yes,yes,yes,3,3,3,6,3,3,yes,True,False
case_090,HeZLQePuAFmY4jntwpAhxALaFFBUQ1UsmipTfZYY2P6Y,standard,control_fail_both,False,9866fbf5e2f2a63525ef420964646407744befecff4efd6e03666dfbc0310120,177,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_091,DrewDojWtqw9pncKzuBBQD2p8nLWFhcYWV3qUnrAJhjT,standard,selected,True,48f7fcb211112890d04567aa350db589863072c3b33fa8f5dd803b014f96abf9,208,120,12,False,yes,yes,yes,9,10,9,1,3,3,yes,True,False
case_092,8zZxwiXtKtceBc8sgUefaBmGsPpMLH8Mv8LyEJ1AzxHa,standard,selected,True,1946c181f84d63e55275baef78b0f83f99ba9767251add11d180aeafcfef64ad,437,120,12,False,yes,yes,yes,8,8,8,0,3,3,yes,True,False
case_093,9X6tNdhY5vF6V3Njwf77HtJ4H4z3UotohHmHq2GKSo3e,standard,control_fail_SC,False,b6aaab41907c5afda2f3a75e2dc1acaac3b136a002c9a9141a3a21c90c99e23f,48,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_094,hnu69n6P5CgYXCtUKii9wgamqtDeTVHY3TVJ6HKt7wC,multi_split,selected,True,cf13414e900d336fca212271b54dd458090e9e5d912b80d127ebce6a2c065ba0,112,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_095,3Y9TwcxxA5L33pbvpgLT3HWkVtD6sMRMcj4ojLM8FaDF,standard,selected,True,ca4abe3d1b65ddfe265ff074dd248a218c650b1ba38f76a419d1d59e99fd18fa,111,120,12,False,yes,yes,yes,2,9,3,7,3,3,yes,True,False
case_096,AEAvV3s6kajZyZgXw2pZSbdcgwXuUgDJ61jecczAXLMv,standard,control_fail_SC,False,85db8029b3e958198f7a68549b57b0f5fb5fde33ac463ba0c243d0c601143f0b,39,120,12,False,no,yes,no,0,9,0,0,3,3,no,False,False
case_097,F4qeu5kVdwepwsY1JwSHQ56G5wPJ11bpPKGeewbujDRK,diff_signer_owner,selected,True,5d689a80f67ebd3dcb3daeaffa7f9e733700c7fe50520aa609020c62995e418c,36,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_098,KKKzQmS38mSxHu7AaasGghGgVqoEt2DS8M5AcBMVK3j,standard,selected,True,e732368c9576e0f3cda67177138de0e1b65a7190b9bbe9b1819004dc6d9a0dc9,30,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_099,6aJvt3McfqMA8uLvW53KdLHxmdV5zykaMyhZ9YQUkZvy,standard,selected,True,17d04ae2694ee0abcc119db17562664b4deee04da8af54321ea937bbc9063b9a,112,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_100,LUXrU5tGWemJxvqDeqSXANqLc8F31vVLgeYNzFrozdc,standard,selected,True,29212c4bdaa8d12363cba7269323fc76a501332c7e72b4d2b3b3b4cb8fa9e4dc,158,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_101,EXxad7hXpNZ7jLfDM25JyXW28PLFdE2eRkNvK7sdaDeP,standard,selected,True,eadf2621e273096c89082ec03a2f915e53cbd4d5142062c3df4bbb9357023fdb,86,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
